"","pwa_name","pwa_start_time","pwa_end_time","pwa_load_time","type","experiment"
"240","https://nylon.com",1571186845.376,1571186845.931,0.555000066757202,"cache",14
"242","https://www.zumata.com",1571186921.254,1571186921.813,0.559000015258789,"cache",14
"244","https://slate.com",1571186994.716,1571186995.467,0.750999927520752,"cache",14
"246","https://www.smashingmagazine.com",1571187068.174,1571187068.526,0.351999998092651,"cache",14
"248","https://edgy.app",1571187136.194,1571187136.359,0.164999961853027,"cache",14
"250","https://www.soundslice.com",1571187204.124,1571187204.222,0.0979998111724854,"cache",14
"252","https://www.nrw-tourismus.de",1571187272.825,1571187273.258,0.432999849319458,"cache",14
"254","https://www.petlove.com.br",1571189171.56,1571189171.918,0.358000040054321,"cache",15
"256","https://m.alibaba.com/",1571189249.74,1571189250.398,0.657999992370605,"cache",15
"258","https://nylon.com",1571189331.399,1571189331.863,0.46399998664856,"cache",15
"260","https://www.zumata.com",1571189407.135,1571189407.832,0.697000026702881,"cache",15
"262","https://slate.com",1571189480.673,1571189481.328,0.654999971389771,"cache",15
"264","https://www.smashingmagazine.com",1571189554.889,1571189555.269,0.380000114440918,"cache",15
"266","https://edgy.app",1571189623.576,1571189623.731,0.154999971389771,"cache",15
"268","https://www.soundslice.com",1571189692.373,1571189692.47,0.0970001220703125,"cache",15
"270","https://www.nrw-tourismus.de",1571189762.446,1571189762.82,0.373999834060669,"cache",15
"272","https://www.petlove.com.br",1571189911.961,1571189913.172,1.21099996566772,"cache",16
"274","https://m.alibaba.com/",1571189990.799,1571189991.374,0.575000047683716,"cache",16
"276","https://nylon.com",1571190071.537,1571190072.182,0.644999980926514,"cache",16
"278","https://www.zumata.com",1571190148.137,1571190148.684,0.546999931335449,"cache",16
"280","https://slate.com",1571190221.555,1571190222.136,0.580999851226807,"cache",16
"282","https://www.smashingmagazine.com",1571190294.875,1571190295.238,0.36299991607666,"cache",16
"284","https://edgy.app",1571190363.591,1571190363.756,0.164999961853027,"cache",16
"286","https://www.soundslice.com",1571190432.131,1571190432.229,0.0980000495910645,"cache",16
"288","https://www.nrw-tourismus.de",1571190501.242,1571190501.678,0.435999870300293,"cache",16
"290","https://www.petlove.com.br",1571190651.453,1571190651.82,0.366999864578247,"cache",17
"292","https://m.alibaba.com/",1571190729.758,1571190730.472,0.71399998664856,"cache",17
"294","https://nylon.com",1571190810.773,1571190811.228,0.454999923706055,"cache",17
"296","https://www.zumata.com",1571190887.632,1571190888.19,0.558000087738037,"cache",17
"298","https://slate.com",1571190961.675,1571190962.494,0.819000005722046,"cache",17
"300","https://www.smashingmagazine.com",1571191035.484,1571191035.839,0.355000019073486,"cache",17
"302","https://edgy.app",1571191104.369,1571191104.514,0.144999980926514,"cache",17
"304","https://www.soundslice.com",1571191172.714,1571191172.812,0.0980000495910645,"cache",17
"306","https://www.nrw-tourismus.de",1571191243.801,1571191244.172,0.370999813079834,"cache",17
"308","https://www.petlove.com.br",1571191392.936,1571191393.282,0.345999956130981,"cache",18
"310","https://m.alibaba.com/",1571191470.476,1571191471.206,0.730000019073486,"cache",18
"312","https://nylon.com",1571191551.799,1571191552.253,0.453999996185303,"cache",18
"314","https://www.zumata.com",1571191627.125,1571191627.696,0.571000099182129,"cache",18
"316","https://slate.com",1571191701.505,1571191701.986,0.480999946594238,"cache",18
"318","https://www.smashingmagazine.com",1571191775.884,1571191776.247,0.36299991607666,"cache",18
"320","https://edgy.app",1571191844.468,1571191844.636,0.167999982833862,"cache",18
"322","https://www.soundslice.com",1571191913.644,1571191913.74,0.0959999561309814,"cache",18
"324","https://www.nrw-tourismus.de",1571191982.956,1571191983.332,0.375999927520752,"cache",18
"326","https://www.petlove.com.br",1571192132.473,1571192132.74,0.266999959945679,"cache",19
"328","https://m.alibaba.com/",1571192210.733,1571192211.382,0.648999929428101,"cache",19
"330","https://nylon.com",1571192292.187,1571192292.623,0.435999870300293,"cache",19
"332","https://www.zumata.com",1571192367.576,1571192368.128,0.552000045776367,"cache",19
"334","https://slate.com",1571192442.573,1571192443.359,0.78600001335144,"cache",19
"336","https://www.smashingmagazine.com",1571192516.495,1571192516.856,0.361000061035156,"cache",19
"338","https://edgy.app",1571192586.569,1571192586.726,0.157000064849854,"cache",19
"340","https://www.soundslice.com",1571192654.875,1571192654.973,0.0980000495910645,"cache",19
"342","https://www.nrw-tourismus.de",1571192724.162,1571192724.641,0.479000091552734,"cache",19
"344","https://www.petlove.com.br",1571192873.411,1571192873.751,0.339999914169312,"cache",20
"346","https://m.alibaba.com/",1571192950.951,1571192951.433,0.482000112533569,"cache",20
"348","https://nylon.com",1571193033.079,1571193033.704,0.625,"cache",20
"350","https://www.zumata.com",1571193108.102,1571193108.963,0.861000061035156,"cache",20
"352","https://slate.com",1571193182.37,1571193183.048,0.678000211715698,"cache",20
"354","https://www.smashingmagazine.com",1571193254.891,1571193255.282,0.391000032424927,"cache",20
"356","https://edgy.app",1571193323.176,1571193323.339,0.162999868392944,"cache",20
"358","https://www.soundslice.com",1571193390.889,1571193390.995,0.105999946594238,"cache",20
"360","https://www.nrw-tourismus.de",1571193459.767,1571193460.189,0.421999931335449,"cache",20
"1","https://www.petlove.com.br",1571177093.775,1571177094.422,0.646999835968018,"no cache",1
"3","https://m.alibaba.com/",1571177169.755,1571177170.936,1.18099999427795,"no cache",1
"5","https://nylon.com",1571177250.884,1571177251.609,0.724999904632568,"no cache",1
"7","https://www.zumata.com",1571177330.717,1571177333.428,2.71099996566772,"no cache",1
"9","https://slate.com",1571177401.954,1571177402.906,0.95199990272522,"no cache",1
"11","https://www.smashingmagazine.com",1571177478.48,1571177479.097,0.616999864578247,"no cache",1
"13","https://edgy.app",1571177546.519,1571177546.718,0.198999881744385,"no cache",1
"15","https://www.soundslice.com",1571177614.467,1571177614.762,0.295000076293945,"no cache",1
"17","https://www.nrw-tourismus.de",1571177682.256,1571177682.791,0.534999847412109,"no cache",1
"19","https://www.petlove.com.br",1571177826.055,1571177826.717,0.661999940872192,"no cache",2
"21","https://m.alibaba.com/",1571177901.909,1571177902.52,0.611000061035156,"no cache",2
"23","https://nylon.com",1571177982.673,1571177983.201,0.527999877929688,"no cache",2
"25","https://www.zumata.com",1571178062.788,1571178065.333,2.54499983787537,"no cache",2
"27","https://slate.com",1571178134.148,1571178134.91,0.76200008392334,"no cache",2
"29","https://www.smashingmagazine.com",1571178215.323,1571178215.966,0.64300012588501,"no cache",2
"31","https://edgy.app",1571178283.765,1571178284.028,0.263000011444092,"no cache",2
"33","https://www.soundslice.com",1571178352.651,1571178352.924,0.273000001907349,"no cache",2
"35","https://www.nrw-tourismus.de",1571178420.468,1571178421.01,0.54200005531311,"no cache",2
"37","https://www.petlove.com.br",1571178566.914,1571178567.52,0.605999946594238,"no cache",3
"39","https://m.alibaba.com/",1571178642.351,1571178644.696,2.34500002861023,"no cache",3
"41","https://nylon.com",1571178722.572,1571178723.24,0.667999982833862,"no cache",3
"43","https://www.zumata.com",1571178802.21,1571178804.894,2.68400001525879,"no cache",3
"45","https://slate.com",1571178873.032,1571178873.794,0.761999845504761,"no cache",3
"47","https://www.smashingmagazine.com",1571178952.063,1571178952.715,0.651999950408936,"no cache",3
"49","https://edgy.app",1571179019.752,1571179019.993,0.240999937057495,"no cache",3
"51","https://www.soundslice.com",1571179087.975,1571179089.214,1.23900008201599,"no cache",3
"53","https://www.nrw-tourismus.de",1571179156.27,1571179156.81,0.539999961853027,"no cache",3
