zumatawwwzumatacom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
zumatawwwzumatacom1,7.19113999978,7.19162699999,0.000487000215799,core 0 cpu_frequency,0.000196258749366,1571177332.19,1571177332.19
zumatawwwzumatacom1,7.19162699999,7.23132300004,0.0396960000508,core 0 cpu_idle,0.000604649472773,1571177332.19,1571177332.23
zumatawwwzumatacom1,7.23132300004,7.2316279998,0.000304999761283,core 0 cpu_frequency,0.000122913439798,1571177332.23,1571177332.23
zumatawwwzumatacom1,7.2316279998,7.2512889998,0.0196609999985,core 0 cpu_idle,0.000299476351976,1571177332.23,1571177332.25
zumatawwwzumatacom1,7.2512889998,7.253058,0.00176900019869,core 0 cpu_frequency,0.000712898588872,1571177332.25,1571177332.25
zumatawwwzumatacom1,7.253058,7.25554999989,0.0024919998832,core 0 cpu_idle,3.7958142221e-05,1571177332.25,1571177332.26
zumatawwwzumatacom1,7.25554999989,7.25608099997,0.000531000085175,core 0 cpu_frequency,0.000213990485525,1571177332.26,1571177332.26
zumatawwwzumatacom1,7.25608099997,7.28824999975,0.03216899978,core 0 cpu_idle,0.000489998204648,1571177332.26,1571177332.29
zumatawwwzumatacom1,7.28824999975,7.28835999966,0.000109999906272,core 0 cpu_frequency,4.43294342279e-05,1571177332.29,1571177332.29
zumatawwwzumatacom1,7.28835999966,7.29031999968,0.00196000002325,core 0 cpu_idle,2.98547203541e-05,1571177332.29,1571177332.29
zumatawwwzumatacom1,7.29031999968,7.29174799984,0.00142800016329,core 0 cpu_frequency,0.000575477211404,1571177332.29,1571177332.29
zumatawwwzumatacom1,7.29174799984,7.31128999963,0.0195419997908,core 0 cpu_idle,0.000297663740814,1571177332.29,1571177332.31
zumatawwwzumatacom1,7.31128999963,7.31375999982,0.00247000018135,core 0 cpu_frequency,0.000995398217082,1571177332.31,1571177332.31
zumatawwwzumatacom1,7.31375999982,7.33129399968,0.0175339998677,core 0 cpu_idle,0.000267077885985,1571177332.31,1571177332.33
zumatawwwzumatacom1,7.33129399968,7.33146699984,0.000173000153154,core 0 cpu_frequency,6.97182313204e-05,1571177332.33,1571177332.33
zumatawwwzumatacom1,7.33146699984,7.33268799959,0.00122099975124,core 0 cpu_idle,1.85982682109e-05,1571177332.33,1571177332.33
zumatawwwzumatacom1,7.33268799959,7.33434999967,0.00166200008243,core 0 cpu_frequency,0.00066977805562,1571177332.33,1571177332.33
zumatawwwzumatacom1,7.33434999967,7.35341299977,0.0190630001016,core 0 cpu_idle,0.000290367617548,1571177332.33,1571177332.35
zumatawwwzumatacom1,7.35341299977,7.35391699988,0.000504000112414,core 0 cpu_frequency,0.000203109626102,1571177332.35,1571177332.35
zumatawwwzumatacom1,7.35391699988,7.37119799992,0.0172810000367,core 0 cpu_idle,0.00026322419256,1571177332.35,1571177332.37
zumatawwwzumatacom1,7.37119799992,7.37167100003,0.000473000109196,core 0 cpu_frequency,0.000190616773605,1571177332.37,1571177332.37
zumatawwwzumatacom1,7.37167100003,7.39130300004,0.0196320000105,core 0 cpu_idle,0.000299034624159,1571177332.37,1571177332.39
zumatawwwzumatacom1,7.39130300004,7.39148999983,0.000186999794096,core 0 cpu_frequency,7.53600194216e-05,1571177332.39,1571177332.39
zumatawwwzumatacom1,7.39148999983,7.41915999958,0.0276699997485,core 0 cpu_idle,0.000421469436169,1571177332.39,1571177332.42
zumatawwwzumatacom1,7.41915999958,7.41964899981,0.000489000231028,core 0 cpu_frequency,0.000197064745903,1571177332.42,1571177332.42
zumatawwwzumatacom1,7.41964899981,7.45118699968,0.0315379998647,core 0 cpu_idle,0.000480386813939,1571177332.42,1571177332.45
zumatawwwzumatacom1,7.45118699968,7.45133299986,0.000146000180393,core 0 cpu_frequency,5.88373718977e-05,1571177332.45,1571177332.45
zumatawwwzumatacom1,7.45133299986,7.4569029999,0.00557000003755,core 0 cpu_idle,8.4842240572e-05,1571177332.45,1571177332.46
zumatawwwzumatacom1,7.4569029999,7.45705499966,0.000151999760419,core 0 cpu_frequency,6.12551738501e-05,1571177332.46,1571177332.46
zumatawwwzumatacom1,7.45705499966,7.47750499984,0.0204500001855,core 0 cpu_idle,0.000311494402826,1571177332.46,1571177332.48
zumatawwwzumatacom1,7.47750499984,7.47768599959,0.000180999748409,core 0 cpu_frequency,7.294202981e-05,1571177332.48,1571177332.48
zumatawwwzumatacom1,7.47768599959,7.49790599989,0.0202200002968,core 0 cpu_idle,0.000307991044521,1571177332.48,1571177332.5
zumatawwwzumatacom1,7.49790599989,7.50078799995,0.00288200005889,core 0 cpu_frequency,0.00116143219013,1571177332.5,1571177332.5
zumatawwwzumatacom1,7.50078799995,7.50088299997,9.50000248849e-05,core 0 cpu_idle,1.44704037905e-06,1571177332.5,1571177332.5
zumatawwwzumatacom1,7.50088299997,7.50168199977,0.000798999797553,core 0 cpu_frequency,0.000321993083215,1571177332.5,1571177332.5
zumatawwwzumatacom1,7.50168199977,7.51116799982,0.00948600005358,core 0 cpu_idle,0.000144490752816,1571177332.5,1571177332.51
